"id";"objectid";"point_lat";"point_lng";"xkey";"vrije_hoogte";"ophanging";"type";"vorm";"afmeting1";"afmeting2";"opschrift";"fabtype";"beeldvlak";"fabdatum";"subkey";"x";"y";"shape"
"1";"13729213";"51.20498508856900";"4.35846079466570";"92679";"1800";"Verlichtingspaal";"C43";"ro";"700";"0";"50|";"Vlak";"Type I";"1993-01-01";"92679.B1";"149280.36951593";"210557.74673105";""
"4";"13729214";"51.20498508856900";"4.35846079466570";"92679";"1800";"Verlichtingspaal";"GIa";"rh";"450";"225";"300m|";"Vlak";"Type I";"1997-01-01";"92679.B2";"149280.36951593";"210557.74673105";""
"7";"13729215";"51.20568555084600";"4.36077282206690";"92680";"2200";"Verlichtingspaal";"C43";"ro";"700";"0";"70|";"Vlak";"Type I";"1995-01-01";"92680.B1";"149441.96252528";"210635.65758814";""
"10";"13729216";"51.20635535858300";"4.36353720382820";"92681";"2150";"Verlichtingspaal";"C43";"ro";"700";"0";"70|";"Vlak";"Type I";"1995-01-01";"92681.B1";"149635.16413888";"210710.16103588";""
"13";"13729217";"51.20740769291600";"4.36589894331090";"92682";"2100";"Verlichtingspaal";"C43";"ro";"700";"0";"70|";"Vlak";"Type I";"1995-01-01";"92682.B1";"149800.22238878";"210827.23009084";""
"16";"13729218";"51.20731053536000";"4.36624357770340";"92683";"1500";"Steun";"A15";"dh";"1100";"0";"";"B&W";"Type I";"1973-01-01";"92683.B1";"149824.30704494";"210816.42027313";""
"19";"13729219";"51.20771315683000";"4.36734016112580";"92684";"1350";"Verlichtingspaal";"C43";"ro";"700";"0";"70|";"Vlak";"Type I";"1995-01-01";"92684.B1";"149900.94280531";"210861.21224565";""
"22";"13729220";"51.20771315683000";"4.36734016112580";"92684";"1350";"Verlichtingspaal";"FtsRt";"rh";"200";"500";"|";"Geen";"Geen";"2005-01-01";"92684.B2";"149900.94280531";"210861.21224565";""
"25";"13729221";"51.20771315683000";"4.36734016112580";"92684";"1350";"Verlichtingspaal";"fietsroute-groen";"zh";"300";"0";"sy-S301|Sint-Annekensroute|33km|sy-S148|";"Geen";"Geen";"1997-01-01";"92684.B3";"149900.94280531";"210861.21224565";""
"28";"13729222";"51.20793179131100";"4.36730317437050";"92685";"1450";"Verlichtingspaal";"FtsRt";"rh";"200";"400";"|";"Geen";"Geen";"2005-01-01";"92685.B1";"149898.35823607";"210885.53626257";""
"31";"13729223";"51.20768552214800";"4.36750423569880";"92686";"1000";"Steun";"F27_Tunnel";"rh";"1700";"1300";"Tunnel|naar|Antwerpen-centrum|Hoboken|Wilrijk|voor|S345|S153|S148|S147|";"B&W";"Type I";"1985-01-01";"92686.B1";"149912.40912576";"210858.13767529";""
"34";"13729224";"51.20882382780400";"4.36990934899760";"92687";"1400";"Verlichtingspaal";"C43";"ro";"700";"0";"70|";"Vlak";"Type I";"1995-01-01";"92687.B1";"150080.48729196";"210984.78035292";""
"37";"13729225";"51.20882382780400";"4.36990934899760";"92687";"1400";"Verlichtingspaal";"FtsRt";"rh";"300";"200";"sy-S301|47|sy-S148||";"Geen";"Geen";"2005-01-01";"92687.B2";"150080.48729196";"210984.78035292";""
